year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2016-2017,Kharif,Warangal (Urban),Elkathurthy,Turmeric,21.8,159
2016-2017,Kharif,Warangal (Urban),Kamalapoor,Turmeric,121.4,131
2016-2017,Kharif,Warangal (Urban),Hasanparthy,Turmeric,84,176
2016-2017,Kharif,Warangal (Urban),Dharamasagar,Turmeric,0,0
2016-2017,Kharif,Warangal (Urban),Khazipet,Turmeric,,7
2016-2017,Kharif,Warangal (Urban),Hanamkonda,Turmeric,34,0
2016-2017,Kharif,Warangal (Urban),Warangal,Turmeric,0,6
2016-2017,Kharif,Warangal (Urban),Killa-warangal,Turmeric,,38
2016-2017,Kharif,Warangal (Urban),Inavole,Turmeric,,67
2016-2017,Kharif,Warangal (Urban),Bheemadevarapally,Cotton,8341,5366
2016-2017,Kharif,Warangal (Urban),Velair,Cotton,,2149
2016-2017,Kharif,Warangal (Urban),Elkathurthy,Cotton,4322.4,4025
2016-2017,Kharif,Warangal (Urban),Kamalapoor,Cotton,6110,5237
2016-2017,Kharif,Warangal (Urban),Hasanparthy,Cotton,4576,3029
2016-2017,Kharif,Warangal (Urban),Dharamasagar,Cotton,5193,2899
2016-2017,Kharif,Warangal (Urban),Khazipet,Cotton,,886
2016-2017,Kharif,Warangal (Urban),Hanamkonda,Cotton,3722,56
2016-2017,Kharif,Warangal (Urban),Warangal,Cotton,209,381
2016-2017,Kharif,Warangal (Urban),Killa-warangal,Cotton,,1746
2016-2017,Kharif,Warangal (Urban),Inavole,Cotton,,4267
2016-2017,Kharif,Warangal (Urban),Bheemadevarapally,Groundnut,0,0
2016-2017,Kharif,Warangal (Urban),Velair,Groundnut,,4
2016-2017,Kharif,Warangal (Urban),Elkathurthy,Groundnut,0,0
2016-2017,Kharif,Warangal (Urban),Kamalapoor,Groundnut,0,0
2016-2017,Kharif,Warangal (Urban),Hasanparthy,Groundnut,2,0
2016-2017,Kharif,Warangal (Urban),Dharamasagar,Groundnut,35,21
2016-2017,Kharif,Warangal (Urban),Khazipet,Groundnut,,37
2016-2017,Kharif,Warangal (Urban),Hanamkonda,Groundnut,48,0
2016-2017,Kharif,Warangal (Urban),Warangal,Groundnut,0,0
2016-2017,Kharif,Warangal (Urban),Killa-warangal,Groundnut,,23
2016-2017,Kharif,Warangal (Urban),Inavole,Groundnut,,35
2016-2017,Kharif,Warangal (Urban),Bheemadevarapally,Sesamum,0,0
2016-2017,Kharif,Warangal (Urban),Velair,Sesamum,,0
2016-2017,Kharif,Warangal (Urban),Elkathurthy,Sesamum,0,0
2016-2017,Kharif,Warangal (Urban),Kamalapoor,Sesamum,0,0
2016-2017,Kharif,Warangal (Urban),Hasanparthy,Sesamum,0,0
2016-2017,Kharif,Warangal (Urban),Dharamasagar,Sesamum,6,0
2016-2017,Kharif,Warangal (Urban),Khazipet,Sesamum,,0
2016-2017,Kharif,Warangal (Urban),Hanamkonda,Sesamum,2,0
2016-2017,Kharif,Warangal (Urban),Warangal,Sesamum,0,0
2016-2017,Kharif,Warangal (Urban),Killa-warangal,Sesamum,,6
2016-2017,Kharif,Warangal (Urban),Inavole,Sesamum,,4
2016-2017,Kharif,Warangal (Urban),Bheemadevarapally,Soyabeen,0,9
2016-2017,Kharif,Warangal (Urban),Velair,Soyabeen,,8
2016-2017,Kharif,Warangal (Urban),Elkathurthy,Soyabeen,15.4,10
2016-2017,Kharif,Warangal (Urban),Kamalapoor,Soyabeen,2.4,10
2016-2017,Kharif,Warangal (Urban),Hasanparthy,Soyabeen,0,0
2016-2017,Kharif,Warangal (Urban),Dharamasagar,Soyabeen,5,25
2016-2017,Kharif,Warangal (Urban),Khazipet,Soyabeen,,1
2016-2017,Kharif,Warangal (Urban),Hanamkonda,Soyabeen,6,0
2016-2017,Kharif,Warangal (Urban),Warangal,Soyabeen,0,1
2016-2017,Kharif,Warangal (Urban),Killa-warangal,Soyabeen,,11
2016-2017,Kharif,Warangal (Urban),Inavole,Soyabeen,,2
2016-2017,Kharif,Warangal (Urban),Bheemadevarapally,Total,10976.8,8684
2016-2017,Kharif,Warangal (Urban),Velair,Total,0,4377
2016-2017,Kharif,Warangal (Urban),Elkathurthy,Total,6707,7665
2016-2017,Kharif,Warangal (Urban),Kamalapoor,Total,8699.2,9894
2016-2017,Kharif,Warangal (Urban),Hasanparthy,Total,7869,7045
2016-2017,Kharif,Warangal (Urban),Dharamasagar,Total,8935,6555
2016-2017,Kharif,Warangal (Urban),Khazipet,Total,0,2524
2016-2017,Kharif,Warangal (Urban),Hanamkonda,Total,6410,350
2016-2017,Kharif,Warangal (Urban),Warangal,Total,447,631
2016-2017,Kharif,Warangal (Urban),Killa-warangal,Total,0,3131
2016-2017,Kharif,Warangal (Urban),Inavole,Total,0,7174
