year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2017-2018,Kharif,Warangal (Urban),Killa-warangal,Black Gram,0,0
2017-2018,Kharif,Warangal (Urban),Inavole,Black Gram,0,0
2017-2018,Kharif,Warangal (Urban),Bheemadevarapally,Red Gram,23,37
2017-2018,Kharif,Warangal (Urban),Velair,Red Gram,25,32
2017-2018,Kharif,Warangal (Urban),Elkathurthy,Red Gram,81,44
2017-2018,Kharif,Warangal (Urban),Kamalapoor,Red Gram,28,13
2017-2018,Kharif,Warangal (Urban),Hasanparthy,Red Gram,19,29
2017-2018,Kharif,Warangal (Urban),Dharamasagar,Red Gram,145,127
2017-2018,Kharif,Warangal (Urban),Khazipet,Red Gram,56,194
2017-2018,Kharif,Warangal (Urban),Hanamkonda,Red Gram,42,0
2017-2018,Kharif,Warangal (Urban),Warangal,Red Gram,6,0
2017-2018,Kharif,Warangal (Urban),Killa-warangal,Red Gram,17,24
2017-2018,Kharif,Warangal (Urban),Inavole,Red Gram,39,102
2017-2018,Kharif,Warangal (Urban),Bheemadevarapally,Cow Gram,0,0
2017-2018,Kharif,Warangal (Urban),Velair,Cow Gram,0,0
2017-2018,Kharif,Warangal (Urban),Elkathurthy,Cow Gram,0,0
2017-2018,Kharif,Warangal (Urban),Kamalapoor,Cow Gram,0,0
2017-2018,Kharif,Warangal (Urban),Hasanparthy,Cow Gram,0,0
2017-2018,Kharif,Warangal (Urban),Dharamasagar,Cow Gram,0,0
2017-2018,Kharif,Warangal (Urban),Khazipet,Cow Gram,0,0
2017-2018,Kharif,Warangal (Urban),Hanamkonda,Cow Gram,0,0
2017-2018,Kharif,Warangal (Urban),Warangal,Cow Gram,0,0
2017-2018,Kharif,Warangal (Urban),Killa-warangal,Cow Gram,0,0
2017-2018,Kharif,Warangal (Urban),Inavole,Cow Gram,0,0
2017-2018,Kharif,Warangal (Urban),Bheemadevarapally,Chillies,6,0
2017-2018,Kharif,Warangal (Urban),Velair,Chillies,15,8
2017-2018,Kharif,Warangal (Urban),Elkathurthy,Chillies,28,0
2017-2018,Kharif,Warangal (Urban),Kamalapoor,Chillies,84,58
2017-2018,Kharif,Warangal (Urban),Hasanparthy,Chillies,39,4
2017-2018,Kharif,Warangal (Urban),Dharamasagar,Chillies,42,31
2017-2018,Kharif,Warangal (Urban),Khazipet,Chillies,2,2
2017-2018,Kharif,Warangal (Urban),Hanamkonda,Chillies,18,0
2017-2018,Kharif,Warangal (Urban),Warangal,Chillies,0,0
2017-2018,Kharif,Warangal (Urban),Killa-warangal,Chillies,3,18
2017-2018,Kharif,Warangal (Urban),Inavole,Chillies,2,0
2017-2018,Kharif,Warangal (Urban),Bheemadevarapally,Turmeric,4,1
2017-2018,Kharif,Warangal (Urban),Velair,Turmeric,0,0
2017-2018,Kharif,Warangal (Urban),Elkathurthy,Turmeric,49,83
2017-2018,Kharif,Warangal (Urban),Kamalapoor,Turmeric,113,81
2017-2018,Kharif,Warangal (Urban),Hasanparthy,Turmeric,98,73
2017-2018,Kharif,Warangal (Urban),Dharamasagar,Turmeric,1,28
2017-2018,Kharif,Warangal (Urban),Khazipet,Turmeric,1,10
2017-2018,Kharif,Warangal (Urban),Hanamkonda,Turmeric,29,
2017-2018,Kharif,Warangal (Urban),Warangal,Turmeric,1,9
2017-2018,Kharif,Warangal (Urban),Killa-warangal,Turmeric,8,40
2017-2018,Kharif,Warangal (Urban),Inavole,Turmeric,13,53
2017-2018,Kharif,Warangal (Urban),Bheemadevarapally,Cotton,7173,7013
2017-2018,Kharif,Warangal (Urban),Velair,Cotton,430,3263
2017-2018,Kharif,Warangal (Urban),Elkathurthy,Cotton,4264,4765
2017-2018,Kharif,Warangal (Urban),Kamalapoor,Cotton,5895,5258
2017-2018,Kharif,Warangal (Urban),Hasanparthy,Cotton,3945,3371
2017-2018,Kharif,Warangal (Urban),Dharamasagar,Cotton,4994,3229
2017-2018,Kharif,Warangal (Urban),Khazipet,Cotton,178,1052
2017-2018,Kharif,Warangal (Urban),Hanamkonda,Cotton,2789,12
2017-2018,Kharif,Warangal (Urban),Warangal,Cotton,230,526
2017-2018,Kharif,Warangal (Urban),Killa-warangal,Cotton,349,1425
2017-2018,Kharif,Warangal (Urban),Inavole,Cotton,853,5494
2017-2018,Kharif,Warangal (Urban),Bheemadevarapally,Groundnut,0,
2017-2018,Kharif,Warangal (Urban),Velair,Groundnut,1,
2017-2018,Kharif,Warangal (Urban),Elkathurthy,Groundnut,0,
2017-2018,Kharif,Warangal (Urban),Kamalapoor,Groundnut,0,
2017-2018,Kharif,Warangal (Urban),Hasanparthy,Groundnut,2,
2017-2018,Kharif,Warangal (Urban),Dharamasagar,Groundnut,36,
2017-2018,Kharif,Warangal (Urban),Khazipet,Groundnut,7,28
2017-2018,Kharif,Warangal (Urban),Hanamkonda,Groundnut,48,
2017-2018,Kharif,Warangal (Urban),Warangal,Groundnut,0,
2017-2018,Kharif,Warangal (Urban),Killa-warangal,Groundnut,5,12
2017-2018,Kharif,Warangal (Urban),Inavole,Groundnut,7,36
2017-2018,Kharif,Warangal (Urban),Bheemadevarapally,Sesamum,0,
2017-2018,Kharif,Warangal (Urban),Velair,Sesamum,0,
2017-2018,Kharif,Warangal (Urban),Elkathurthy,Sesamum,0,
2017-2018,Kharif,Warangal (Urban),Kamalapoor,Sesamum,0,
2017-2018,Kharif,Warangal (Urban),Hasanparthy,Sesamum,0,
2017-2018,Kharif,Warangal (Urban),Dharamasagar,Sesamum,3,
2017-2018,Kharif,Warangal (Urban),Khazipet,Sesamum,0,
2017-2018,Kharif,Warangal (Urban),Hanamkonda,Sesamum,2,
2017-2018,Kharif,Warangal (Urban),Warangal,Sesamum,0,
2017-2018,Kharif,Warangal (Urban),Killa-warangal,Sesamum,1,0
2017-2018,Kharif,Warangal (Urban),Inavole,Sesamum,1,4
2017-2018,Kharif,Warangal (Urban),Bheemadevarapally,Soyabean,2,
2017-2018,Kharif,Warangal (Urban),Velair,Soyabean,2,
2017-2018,Kharif,Warangal (Urban),Elkathurthy,Soyabean,17,
2017-2018,Kharif,Warangal (Urban),Kamalapoor,Soyabean,4,
2017-2018,Kharif,Warangal (Urban),Hasanparthy,Soyabean,0,
2017-2018,Kharif,Warangal (Urban),Dharamasagar,Soyabean,11,
2017-2018,Kharif,Warangal (Urban),Khazipet,Soyabean,0,
2017-2018,Kharif,Warangal (Urban),Hanamkonda,Soyabean,7,
2017-2018,Kharif,Warangal (Urban),Warangal,Soyabean,0,
2017-2018,Kharif,Warangal (Urban),Killa-warangal,Soyabean,2,0
2017-2018,Kharif,Warangal (Urban),Inavole,Soyabean,0,1
2017-2018,Kharif,Warangal (Urban),Bheemadevarapally,Total,10198,9599
2017-2018,Kharif,Warangal (Urban),Velair,Total,877,5310
2017-2018,Kharif,Warangal (Urban),Elkathurthy,Total,6894,7818
2017-2018,Kharif,Warangal (Urban),Kamalapoor,Total,8844,9088
2017-2018,Kharif,Warangal (Urban),Hasanparthy,Total,7279,7966
2017-2018,Kharif,Warangal (Urban),Dharamasagar,Total,8759,6417
2017-2018,Kharif,Warangal (Urban),Khazipet,Total,505,3229
2017-2018,Kharif,Warangal (Urban),Hanamkonda,Total,5095,205
2017-2018,Kharif,Warangal (Urban),Warangal,Total,468,702
2017-2018,Kharif,Warangal (Urban),Killa-warangal,Total,626,2343
2017-2018,Kharif,Warangal (Urban),Inavole,Total,1435,8122
